"Year","EventType","Actor1","Actor2","Country","Region","Location","ConflictLat","ConflictLong","StationID","YrMoDy","MaxTemp","StationName","StationLong","StationLat","TempCat"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","South Darfur","Shangil Tobaya",13.01,25.25,627900,20050111,74.5,"NYALA",24.88,12.05,"C"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Shali al Fil",10.23,34.01,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Shali al Fil",10.23,34.01,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Kurmuk",10.55,34.28,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Kurmuk",10.55,34.28,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Kurmuk",10.55,34.28,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ora",10.26,34.2,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","al-Keili / al-Kali / Kayli",10.85,34.33,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","al-Keili / al-Kali / Kayli",10.85,34.33,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Daimonsour / Dayam Mansur",10.39,34.2,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Riots","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Riots","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","al-Keili / al-Kali / Kayli",10.85,34.33,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Violence against civilians","SPLA/M: Sudanese People's Liberation Army/Movement","Civilians (Sudan)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Violence against civilians","SPLA/M: Sudanese People's Liberation Army/Movement","Civilians (Sudan)","Sudan","Blue Nile","Kurmuk",10.55,34.28,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Violence against civilians","NDA: National Democratic Alliance","Civilians (Sudan)","Sudan","Blue Nile","Kurmuk",10.55,34.28,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1997,"Violence against civilians","SPLA/M: Sudanese People's Liberation Army/Movement","Civilians (Sudan)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970117,75.19,"LEKEMTE",36.45,9.08,"M"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19980130,75.19,"LEKEMTE",36.45,9.08,"M"
2002,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Uganda)","Sudan","Equatoria","Acholi Mountains",4.08,32.59,636300,20020420,75.19,"GULU",32.33,2.75,"C"
2005,"Battles","LRA: Lord's Resistance Army","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Juba",4.84,31.61,636020,20050408,75.19,"ARUA",30.91,3.04,"C"
2009,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Upper Nile","Lamchuk",9.25,33.79,634030,20091106,75.59,"GORE",35.53,8.14,"M"
2005,"Battles","Military Forces of Sudan (1989-)","Unidentified Armed Group (Sudan)","Sudan","Kordofan","Ghubeish",12.14,27.35,627810,20050110,75.69,"EN NAHUD",28.43,12.69,"C"
2008,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Western Darfur","Sharaf Jidad",14.23,24.01,627600,20080123,76.09,"EL FASHER",25.33,13.61,"C"
1997,"Riots","Military Forces of Eritrea (1993-)","Military Forces of Sudan (1989-)","Sudan","Kassala","Kassala",15.45,36.39,633310,19970124,76.3,"GONDAR",37.41,12.55,"M"
1997,"Riots","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Kassala","Gedamaieb",16.45,36.88,633300,19970419,76.3,"MAKALE",39.48,13.5,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Pibor",8.43,33.21,634030,19970205,77,"GORE",35.53,8.14,"H"
1997,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Eastern Equatoria","Laboni",3.81,32.76,636304,19970724,77,"LIRA",32.9,2.25,"C"
1998,"Battles","Military Forces of  Uganda (1986-)","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Mongolobakr",4.23,30.69,636020,19981012,77,"ARUA",30.91,3.04,"C"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Mongolobakr",4.23,30.69,636020,19981012,77,"ARUA",30.91,3.04,"C"
1998,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Mongolobakr",4.23,30.69,636020,19981012,77,"ARUA",30.91,3.04,"C"
1998,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636020,19981012,77,"ARUA",30.91,3.04,"C"
2004,"Battles","Military Forces of Sudan (1989-)","SLM/A: Sudan Liberation Movement/Army","Sudan","Northern Darfur","El Fashir",13.63,25.35,627900,20040130,77,"NYALA",24.88,12.05,"C"
2004,"Battles","SLM/A: Sudan Liberation Movement/Army","Janjaweed","Sudan","Darfur","Jebel Marra",13.75,24.5,627900,20040130,77,"NYALA",24.88,12.05,"C"
2004,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur","Jebel Marra",13.75,24.5,627900,20040130,77,"NYALA",24.88,12.05,"C"
2004,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Western Darfur","Mournei (Murnei)",12.94,22.86,627700,20040205,77,"GENINA",22.45,13.48,"C"
2004,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Western Darfur","Mournei (Murnei)",12.94,22.86,627700,20040205,77,"GENINA",22.45,13.48,"C"
2004,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Darfur","Girgira",14.63,22.61,627700,20040205,77,"GENINA",22.45,13.48,"C"
2004,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur","Gukor",13.25,22.46,627700,20040205,77,"GENINA",22.45,13.48,"C"
2004,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur","Gukor",13.25,22.46,627700,20040205,77,"GENINA",22.45,13.48,"C"
2005,"Battles","LRA: Lord's Resistance Army","Military Forces of Uganda (1986-)","Sudan","East Equatoria","Yei",4.09,30.67,636020,20051014,77,"ARUA",30.91,3.04,"C"
2006,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","North Darfur","Kutum",14.19,24.66,627900,20061229,77,"NYALA",24.88,12.05,"C"
2008,"Battles","Military Forces of Sudan (1989-)","SLM/A: Sudan Liberation Movement/Army","Sudan","Darfur","Kalamboa",12.55,24.98,627900,20080201,77,"NYALA",24.88,12.05,"C"
2008,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Southern Darfur","Suleia",11.01,24.81,627900,20080201,77,"NYALA",24.88,12.05,"C"
1997,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Blue Nile","Menze",11.53,35.04,633320,19970117,77.4,"BAHAR DAR",37.41,11.6,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Shali al Fil",10.23,34.01,633400,19970321,77.4,"LEKEMTE",36.45,9.08,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Shali al Fil",10.23,34.01,633400,19970321,77.4,"LEKEMTE",36.45,9.08,"M"
1997,"Riots","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970321,77.4,"LEKEMTE",36.45,9.08,"M"
2009,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Western Equatoria","Bawo",4.57,28.41,636020,20090703,77.4,"ARUA",30.91,3.04,"C"
2009,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Western Equatoria","Dimbiro",4.57,28.41,636020,20090703,77.4,"ARUA",30.91,3.04,"C"
2009,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Western Equatoria","Masumbo near Yambio",4.57,28.41,636020,20090703,77.4,"ARUA",30.91,3.04,"C"
2008,"Battles","SPLA: Sudanese People's Liberation Army","LRA: Lord's Resistance Army","Sudan","Equatoria","Yamba",4.57,28.41,636020,20080604,77.9,"ARUA",30.91,3.04,"C"
2008,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Equatoria","Yamba",4.57,28.41,636020,20080604,77.9,"ARUA",30.91,3.04,"C"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Bikori",11.19,34.65,633320,19970118,78.09,"BAHAR DAR",37.41,11.6,"M"
1997,"Battles","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Qeissan",11.06,34.66,633320,19970118,78.09,"BAHAR DAR",37.41,11.6,"M"
2000,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","West Bahr Al-Ghazal","Tonj",7.27,28.68,646590,20000806,78.09,"OBO",26.5,5.4,"C"
1997,"Riots","Tigray Militia (Ethiopia)","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970130,78.8,"LEKEMTE",36.45,9.08,"M"
1997,"Riots","NDA: National Democratic Alliance","Military Forces of Sudan (1989-)","Sudan","Jonglei","Pibor",6.8,33.13,634030,19970305,78.8,"GORE",35.53,8.14,"H"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","SSDF: South Sudan Defense Forces","Sudan","East Equatoria","Juba",4.84,31.61,636020,19970711,78.8,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Bahr el Ghazal","Tindalo",5.66,31.05,636020,19970711,78.8,"ARUA",30.91,3.04,"M"
2000,"Battles","Military Forces of Sudan (1989-)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","East Equatoria","Juba",4.84,31.61,636020,20000725,78.8,"ARUA",30.91,3.04,"M"
2000,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Juba",4.84,31.61,636020,20000725,78.8,"ARUA",30.91,3.04,"M"
2001,"Riots","Protesters (Sudan)","Police Forces of Sudan (1989-)","Sudan","Khartoum","Khartoum",15.54,32.53,627210,20010226,78.8,"KHARTOUM",32.54,15.6,"C"
2001,"Battles","PDF: Popular Defense Forces","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","Central Equatoria","Lamada",3.76,30.89,636020,20011029,78.8,"ARUA",30.91,3.04,"M"
2002,"Battles","Military Forces of Sudan (1989-)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","East Equatoria","Kapoeta",4.77,33.59,636300,20020608,78.8,"GULU",32.33,2.75,"C"
2002,"Battles","Military Forces of Sudan (1989-)","LRA: Lord's Resistance Army","Sudan","East Equatoria","Juba",4.84,31.61,636020,20021001,78.8,"ARUA",30.91,3.04,"M"
2003,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","North Darfur","Kutum",14.19,24.66,627900,20030826,78.8,"NYALA",24.88,12.05,"C"
2003,"Violence against civilians","Janjaweed","Civilians (Sudan)","Sudan","Darfur","Koronli",12.75,23.81,627900,20030826,78.8,"NYALA",24.88,12.05,"C"
2005,"Battles","Beja Ethnic Militia","Police Forces of Sudan (1989-)","Sudan","Red Sea","Port Sudan",19.1,37.31,626410,20050126,78.8,"PORT SUDAN",37.21,19.58,"C"
2006,"Battles","SPLA: Sudanese People's Liberation Army","LRA: Lord's Resistance Army","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20060318,78.8,"ARUA",30.91,3.04,"M"
2006,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20060318,78.8,"ARUA",30.91,3.04,"M"
2007,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20070612,78.8,"ARUA",30.91,3.04,"M"
2007,"Battles","Military Forces of Sudan (1989-)","SLM/A: Sudan Liberation Movement/Army","Sudan","Kordofan","Wad Banda",13.1,27.95,627810,20070901,78.8,"EN NAHUD",28.43,12.69,"C"
2008,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","LRA: Lord's Resistance Army","Sudan","Eastern Equatoria","Nimule",3.59,32.04,636020,20080616,78.8,"ARUA",30.91,3.04,"M"
2008,"Battles","GOSS: Military Forces of Southern Sudan","Military Forces of Uganda (1986-)","Sudan","Central Equatoria","Kajo Kaji",3.88,31.66,636020,20080801,78.8,"ARUA",30.91,3.04,"M"
2009,"Battles","LRA: Lord's Resistance Army","Police Forces of Sudan (1989-)","Sudan","Western Equatoria","Sakuri near Ezzo",4.57,28.41,636020,20090430,78.8,"ARUA",30.91,3.04,"M"
2009,"Violence against civilians","Civilians (Sudan)","LRA: Lord's Resistance Army","Sudan","Western Equatoria","Bakiwiri",4.57,28.41,636020,20091017,78.8,"ARUA",30.91,3.04,"M"
2008,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","West Equatoria","Yambio",4.57,28.41,636020,20080422,79,"ARUA",30.91,3.04,"M"
2007,"Battles","Military Forces of Sudan (1989-)","NRF: National Redemption Front","Sudan","Darfur","Jabal Siro",14.38,24.38,627600,20070121,79.19,"EL FASHER",25.33,13.61,"C"
2008,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Northern","Jabal Abu Suruj",20.13,30.39,626500,20080208,79.19,"DONGOLA",30.48,19.16,"C"
2010,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Murle Ethnic Group","Sudan","Upper Nile","Pochala",7.16,34.08,634030,20100203,79.19,"GORE",35.53,8.14,"H"
1997,"Riots","Military Forces of Eritrea (1993-)","Military Forces of Sudan (1989-)","Sudan","Blue Nile","Ad-Damazin",11.76,34.34,633400,19970213,79.69,"LEKEMTE",36.45,9.08,"M"
1997,"Battles","UPDF: Military Forces of Uganda (1986-)","ADF: Allied Democratic Forces","Sudan","East Equatoria","East Equatoria",4.41,32.56,636020,19971219,79.69,"ARUA",30.91,3.04,"M"
1999,"Violence against civilians","Matiep Militia","Civilians (Sudan)","Sudan","Western Upper Nile","Bentiu",9.23,29.83,628400,19990711,79.69,"MALKAL",31.64,9.55,"C"
2000,"Battles","SPLA-Gadet: Sudanese People's Liberation Army-Gadet","Matiep Militia","Sudan","East Equatoria","Juba",4.84,31.61,636020,20000729,79.69,"ARUA",30.91,3.04,"M"
2001,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Southern Kordofan","Kurongo Mountains",11.91,29.52,627810,20011207,79.69,"EN NAHUD",28.43,12.69,"C"
2002,"Battles","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Juba",4.84,31.61,636020,20020927,79.69,"ARUA",30.91,3.04,"M"
2005,"Violence against civilians","LRA: Lord's Resistance Army","Civilians (Sudan)","Sudan","East Equatoria","Juba",4.84,31.61,636020,20050726,79.69,"ARUA",30.91,3.04,"M"
2005,"Battles","UPDF: Military Forces of Uganda (1986-)","LRA: Lord's Resistance Army","Sudan","Southern","Kit Valley",3.59,32.04,636300,20050817,79.69,"GULU",32.33,2.75,"C"
2007,"Violence against civilians","Police Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","South Darfur","Nyala",12.05,24.88,627900,20070119,79.69,"NYALA",24.88,12.05,"C"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636020,20050712,79.9,"ARUA",30.91,3.04,"M"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636020,20050712,79.9,"ARUA",30.91,3.04,"M"
1997,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Bahr el Ghazal","Bahr el Ghazal",8,28,646590,19970714,80.09,"OBO",26.5,5.4,"C"
2002,"Battles","Military Forces of Sudan (1989-)","SPLA/M: Sudanese People's Liberation Army/Movement","Sudan","Eastern Equatoria","Lafon",5.03,32.45,636300,20020807,80.09,"GULU",32.33,2.75,"C"
2005,"Battles","Military Forces of Sudan (1989-)","Unidentified Armed Group (Sudan)","Sudan","West Darfur","West Darfur",12.88,22.96,647560,20050121,80.09,"ABECHE",20.85,13.85,"C"
2005,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Western Darfur","Seleia",14,22.61,647560,20050121,80.09,"ABECHE",20.85,13.85,"C"
2005,"Violence against civilians","Unidentified Armed Group (Sudan)","Civilians (Sudan)","Sudan","Northern Darfur","El Geneina",13.44,22.45,647560,20050121,80.09,"ABECHE",20.85,13.85,"C"
2007,"Battles","Military Forces of Sudan (1989-)","Military Forces of Chad (1991-)","Sudan","Northern Darfur","El Geneina",13.44,22.45,627700,20071224,80.09,"GENINA",22.45,13.48,"C"
1998,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","East Equatoria","Yei",4.09,30.67,636540,19980910,80.19,"MASINDI",31.71,1.68,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Upper Nile","Bonje",9.88,33.43,634030,19970307,80.59,"GORE",35.53,8.14,"H"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","West Equatoria","Amadi",5.51,30.33,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Central Equatoria","Goja",3.86,30.6,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Jambo",5.06,30.73,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Juba",4.84,31.61,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Central Equatoria","Moga",4.14,30.92,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","Military Forces of  Uganda (1986-)","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Nimule",3.59,32.04,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","Military Forces of  Uganda (1986-)","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Nimule",3.59,32.04,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","Military Forces of  Uganda (1986-)","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Nimule",3.59,32.04,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","Military Forces of  Uganda (1986-)","Military Forces of Sudan (1989-)","Sudan","Eastern Equatoria","Nimule",3.59,32.04,636020,19970422,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","Central Equatoria","Tali",5.9,30.77,636020,19970630,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Juba",4.84,31.61,636020,19970818,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","Military Forces of Sudan (1989-)","Sudan","East Equatoria","Juba",4.84,31.61,636020,19971213,80.59,"ARUA",30.91,3.04,"M"
1997,"Riots","SPLA/M: Sudanese People's Liberation Army/Movement","SSDF: South Sudan Defense Forces","Sudan","East Equatoria","Torit",4.41,32.56,636020,19971218,80.59,"ARUA",30.91,3.04,"M"
1999,"Violence against civilians","Military Forces of Sudan (1989-)","Civilians (Sudan)","Sudan","Central Equatoria","Loka",4.27,31.01,636020,19990508,80.59,"ARUA",30.91,3.04,"M"
